split,repetition,method,brier_score,ece
iid_test,77,platt,0.1555287668488841,0.025750720044982033
iid_test,77,isotonic,0.1553800456214269,0.017241166748258745
iid_test,77,oracle,0.1456972104868839,0.021619439527365666
iid_test,78,raw,0.1599635450842252,0.0412453969666799
iid_test,78,platt,0.15913682556027128,0.029364706238556342
iid_test,78,isotonic,0.15961783686463513,0.029358523183941363
iid_test,78,oracle,0.15465219874836458,0.02246074253552914
iid_test,79,raw,0.15310597280240992,0.025961296875710763
iid_test,79,platt,0.1530815451216263,0.023965052098890303
iid_test,79,isotonic,0.15403399388203948,0.02790099654292487
iid_test,79,oracle,0.14551980927418776,0.02584894179325002
iid_test,80,raw,0.15536219048811603,0.02835054166163362
iid_test,80,platt,0.15510179270965935,0.020842541521587037
iid_test,80,isotonic,0.15677886862146456,0.022317865732887705
iid_test,80,oracle,0.14644623569398144,0.024754763660962652
iid_test,81,raw,0.154870691025796,0.03098799019008282
iid_test,81,platt,0.15406216555717722,0.021917773318660135
iid_test,81,isotonic,0.1553761977450856,0.02897366728618373
iid_test,81,oracle,0.1485319557771326,0.025749520160680998
iid_test,82,raw,0.15383376873974844,0.02126481690867429
iid_test,82,platt,0.1538243636851084,0.025549095751403867
iid_test,82,isotonic,0.15590547361995657,0.0335657706475737
iid_test,82,oracle,0.14688265855405427,0.026254267615067484
iid_test,83,raw,0.15595376018743573,0.03291970560359358
iid_test,83,platt,0.15549384170023922,0.024911934288722643
iid_test,83,isotonic,0.15698960350932936,0.02725823615009711
iid_test,83,oracle,0.14718029848075856,0.01549548405630586
iid_test,84,raw,0.1575498442089801,0.029733785317807085
iid_test,84,platt,0.15688432201059185,0.021711495610529187
iid_test,84,isotonic,0.15899197778015045,0.037465862244683935
iid_test,84,oracle,0.1499543128713414,0.024005583240994867
iid_test,85,raw,0.16005611793213972,0.027747111762695113
iid_test,85,platt,0.15933962359318057,0.01951334452976404
iid_test,85,isotonic,0.16012241114425024,0.015956322515532074
iid_test,85,oracle,0.1527590300943484,0.016999727503747324
iid_test,86,raw,0.15344993645891306,0.029265997266273266
iid_test,86,platt,0.1530121975340411,0.026452584313461525
iid_test,86,isotonic,0.1532252729999226,0.034126631202929185
iid_test,86,oracle,0.14548774291839217,0.022847595351522608
iid_test,87,raw,0.15324471794889227,0.019790462172281465
iid_test,87,platt,0.1532713666015842,0.024063475831207923
iid_test,87,isotonic,0.1546615643456696,0.030326338622421276
iid_test,87,oracle,0.14489363060765825,0.027266852713100198
iid_test,88,raw,0.15129754929554096,0.026134697705381342
iid_test,88,platt,0.15144190063873586,0.03047851471692855
iid_test,88,isotonic,0.15183319687203334,0.03433297172921255
iid_test,88,oracle,0.1461219737494398,0.020488851710385444
iid_test,89,raw,0.15657949939219745,0.025650515416241682
iid_test,89,platt,0.1561937556955692,0.02245456425988525
iid_test,89,isotonic,0.15684279659742295,0.026836686253581828
iid_test,89,oracle,0.15033169548999847,0.012434616011589671
iid_test,90,raw,0.15153584613685733,0.019839779888311884
iid_test,90,platt,0.15160090598827822,0.025390930191304308
iid_test,90,isotonic,0.15186506049431953,0.024753698288015557
iid_test,90,oracle,0.14666195065675575,0.027341567677302867
iid_test,91,raw,0.1490740905846528,0.02786271383737445
iid_test,91,platt,0.14902877616404114,0.033623782066868516
iid_test,91,isotonic,0.1499224138200441,0.03481093150899332
iid_test,91,oracle,0.14150551985207407,0.031117555043846896
iid_test,92,raw,0.16744407460172656,0.04092623699493314
iid_test,92,platt,0.16606198266252659,0.026450313716437038
iid_test,92,isotonic,0.1664946381778354,0.017336462431980396
iid_test,92,oracle,0.15864904553297446,0.02380276141743687
iid_test,93,raw,0.16019290686973656,0.04215339595871613
iid_test,93,platt,0.1600980823126474,0.04349671540250445
iid_test,93,isotonic,0.15912260990810356,0.03580870217285842
iid_test,93,oracle,0.1519159637572594,0.02837621638220101
iid_test,94,raw,0.1480048781154978,0.02399252601110763
iid_test,94,platt,0.14848614886891398,0.034582607198486576
iid_test,94,isotonic,0.14950782055934259,0.03883440510779471
iid_test,94,oracle,0.1421250102905884,0.029696818991041544
iid_test,95,raw,0.1542848200763183,0.032701937405681475
iid_test,95,platt,0.1541706382676958,0.0325208671495914
iid_test,95,isotonic,0.15538583439895534,0.027456080496516405
iid_test,95,oracle,0.14890293745701108,0.024168272480332487
iid_test,96,raw,0.16105809275280758,0.03868551264912417
iid_test,96,platt,0.16023056188435658,0.02192650303280666
iid_test,96,isotonic,0.1605383252616446,0.022898906132209348
iid_test,96,oracle,0.1534381766529598,0.014846628842987436
iid_test,97,raw,0.1567884166651294,0.021969002372248924
iid_test,97,platt,0.15669873015383692,0.027574173336483133
iid_test,97,isotonic,0.15826232962801715,0.029203184556685212
iid_test,97,oracle,0.15163754712706085,0.013817715909761124
iid_test,98,raw,0.15375576471073843,0.020612915522172655
iid_test,98,platt,0.15373035914854144,0.02812419023800896
iid_test,98,isotonic,0.15475842991560587,0.024265450443120368
iid_test,98,oracle,0.1454465441113404,0.02553720194738357
iid_test,99,raw,0.1475376770641216,0.019591406753292944
iid_test,99,platt,0.14824402745928272,0.03454609348619031
iid_test,99,isotonic,0.14854534302352437,0.036857550749465236
iid_test,99,oracle,0.14196937575306878,0.025572107816116612
iid_test,100,raw,0.1517559239142563,0.03713553886703447
iid_test,100,platt,0.15115921333453589,0.027855460169784328
iid_test,100,isotonic,0.15307767461383798,0.030499935302191
iid_test,100,oracle,0.1456134363423425,0.035178522438074865
iid_test,101,raw,0.15814983683174888,0.023738930664411444
iid_test,101,platt,0.1576137470527789,0.01801923068907163
iid_test,101,isotonic,0.1591617704559378,0.024658379010597354
iid_test,101,oracle,0.14901364637230005,0.023760524571350222
iid_test,102,raw,0.1539095631491354,0.025969963885896518
iid_test,102,platt,0.15365748317611008,0.022110707597415485
iid_test,102,isotonic,0.15421683988792687,0.019644193608838182
iid_test,102,oracle,0.1435371325703756,0.022752925185368467
iid_test,103,raw,0.15310459566545664,0.03527903449654472
iid_test,103,platt,0.15256982416903328,0.027275051203086407
iid_test,103,isotonic,0.15407708497557213,0.028112772593505517
iid_test,103,oracle,0.14566554693547987,0.032794843186238445
iid_test,104,raw,0.16098703452769306,0.03536060090840806
iid_test,104,platt,0.16039393396534926,0.029807997613025605
iid_test,104,isotonic,0.16138601099068142,0.01763932832555124
iid_test,104,oracle,0.1519735089369447,0.019529532462261894
iid_test,105,raw,0.1620100437077305,0.03848342297431169
iid_test,105,platt,0.16099249506374763,0.019914400214546005
iid_test,105,isotonic,0.1616902485438835,0.022436347876232835
iid_test,105,oracle,0.15522655858852544,0.027234834130763427
iid_test,106,raw,0.15501199957101425,0.03200644804074622
iid_test,106,platt,0.1547863265869957,0.02990199052693408
iid_test,106,isotonic,0.15587003576106648,0.02367845169166504
iid_test,106,oracle,0.14688132917637492,0.02873002512039172
iid_test,107,raw,0.15230742431561592,0.019699237223142558
iid_test,107,platt,0.15248465849878792,0.028876151890416007
iid_test,107,isotonic,0.1530048222696815,0.025401249217906208
iid_test,107,oracle,0.14638435856213416,0.015347076330625176
iid_test,108,raw,0.15821694802136602,0.029588387405500634
iid_test,108,platt,0.15801702755351724,0.027150059926913623
iid_test,108,isotonic,0.15943836021972074,0.02611622377117338
iid_test,108,oracle,0.14917641921818653,0.020253050388258347
iid_test,109,raw,0.15769922539291995,0.03225649832474781
iid_test,109,platt,0.1572116889305155,0.03327510085664075
iid_test,109,isotonic,0.15781541934007418,0.03623460649893397
iid_test,109,oracle,0.15068755903302822,0.02831022584209373
iid_test,110,raw,0.14853050607456988,0.015178993379160809
iid_test,110,platt,0.14903308091445483,0.024063331632851206
iid_test,110,isotonic,0.15032011235471232,0.03017321158922775
iid_test,110,oracle,0.1448815658099743,0.02329136406514943
iid_test,111,raw,0.1575080736916793,0.034148551634608434
iid_test,111,platt,0.1569226179219773,0.023682087413237574
iid_test,111,isotonic,0.15838284868425434,0.027594284551063972
iid_test,111,oracle,0.14869739834988746,0.023298771049411294
iid_test,112,raw,0.1569205801113352,0.030744208250512186
iid_test,112,platt,0.1566368031400511,0.03494429518889875
iid_test,112,isotonic,0.15738528414603192,0.036392453389199435
iid_test,112,oracle,0.15213844337060295,0.014546428913583886
iid_test,113,raw,0.16440740733641257,0.041030175697690734
iid_test,113,platt,0.16317128172697506,0.023976978182792357
iid_test,113,isotonic,0.16406419715946186,0.02177492992065125
iid_test,113,oracle,0.1565936029554205,0.017110138706382904
iid_test,114,raw,0.15427054615475946,0.03153256373613144
iid_test,114,platt,0.15369034775552964,0.026729313136985334
iid_test,114,isotonic,0.15523728489110541,0.027793398136203976
iid_test,114,oracle,0.14666710166253819,0.027376884177606784
iid_test,115,raw,0.15771827674787475,0.031419558764882505
iid_test,115,platt,0.15703463603718923,0.02607734224186698
iid_test,115,isotonic,0.15814223482985446,0.027744364080319567
iid_test,115,oracle,0.15244141847551104,0.021657574094641772
iid_test,116,raw,0.15206027614098744,0.023035500958493212
iid_test,116,platt,0.15217027668608163,0.02805889262300126
iid_test,116,isotonic,0.15397713191500528,0.03870336774009868
iid_test,116,oracle,0.14410496116375215,0.02326551586339848
iid_test,117,raw,0.15701676974066622,0.02241390724541967
iid_test,117,platt,0.15692017735361105,0.022250168236993887
iid_test,117,isotonic,0.15816569740344275,0.020510532505824353
iid_test,117,oracle,0.1486596204067904,0.01866870993643008
iid_test,118,raw,0.15457635341091142,0.03924062656920297
iid_test,118,platt,0.1539344094365714,0.033091714335135164
iid_test,118,isotonic,0.1551338903519545,0.033910550811214336
iid_test,118,oracle,0.148095868339483,0.03636611307987518
iid_test,119,raw,0.15954777868529518,0.030064203037871967
iid_test,119,platt,0.15900716608131243,0.023183036716570182
iid_test,119,isotonic,0.1602205835852315,0.014374512575955479
iid_test,119,oracle,0.15196947048347975,0.024694893100571703
iid_test,120,raw,0.15030077740802245,0.018263433920535897
iid_test,120,platt,0.15060112055801103,0.023662316451625653
iid_test,120,isotonic,0.15181750223384066,0.02741216363913724
iid_test,120,oracle,0.14364770691006393,0.023487729493719887
iid_test,121,raw,0.15754717484450623,0.029906130986378548
